NAME, value
Alameda, 82.52
Alpine, 62.65
Amador, 54.90
Butte,51.02
Calaveras,53.88
Colusa,60.38
Contra Costa,83.36
Del Norte,47.95
El Dorado,62.51
Fresno,62.04
Glenn,55.89
Humboldt,65.49
Imperial,94.02
Inyo,61.57
Kern,54.22
Kings,45.50
Lake,54.81
Lassen,28.16
Los Angeles,72.34
Madera,54.85
Marin,86.39
Mariposa,43.38
Mendocino,67.77
Merced,53.03
Modoc,41.08
Mono,62.64
Monterey,72.40
Napa,77.02
Nevada,63.11
Orange,72.27
Placer,69.77
Plumas,54.89
Riverside,59.91
Sacramento,68.98
San Benito,75.90
San Bernardino,57.59
San Diego,80.78
San Francisco,84.14
San Joaquin,63.64
San Luis Obispo,63.90
San Mateo,84.03
Santa Barbara,69.03
Santa Clara,85.34
Santa Cruz,74.63
Shasta,46.42
Sierra,53.34
Siskiyou,48.69
Solano,67.93
Sonoma,76.86
Stanislaus,57.91
Sutter,60.87
Tehama,43.84
Trinity,46.35
Tulare,54.73
Tuolumne,52.68
Ventura,71.45
Yolo,71.65
Yuba,50.84
